,Specie ID,Average Fitness,Stagnation
197,Specie 4,8.984941602754294,6
198,Specie 5,8.866472733508198,42
199,Specie 6,8.93711345220697,60
200,Specie 7,8.750355091493246,47
201,Specie 8,8.31451186138001,28
202,Specie 9,8.311253973860156,85
203,Specie 10,8.722667565813591,7
204,Specie 11,8.058403894560074,5
205,Specie 12,8.891398741966414,4
206,Specie 13,8.165092863544004,5
207,Specie 14,8.819318322463028,3
208,Specie 15,8.824741341121785,5
209,Specie 16,4.000000142340016,20
210,Specie 17,8.933035666594044,4
211,Specie 18,5.265782985581059,22
212,Specie 19,8.170470514396834,1
213,Specie 20,8.93500775609142,47
214,Specie 21,8.185490132450102,9
215,Specie 22,8.876199531359493,15
216,Specie 23,8.155198518299741,16
217,Specie 24,8.885392130320014,24
218,Specie 25,5.733151799671893,0
219,Specie 26,8.659405954994705,7
220,Specie 27,8.764231028800893,42
221,Specie 28,7.544377631775331,15
222,Specie 29,7.52035558576252,30
223,Specie 30,4.079697229017511,7
224,Specie 31,4.818782866413548,25
225,Specie 32,3.947107630098373,27
226,Specie 33,4.516125404883438,25
227,Specie 34,4.000056479636972,5
228,Specie 35,7.065741321686675,6
229,Specie 36,8.935522486592355,4
230,Specie 37,6.401166073533698,4
231,Specie 38,7.387010098629276,4
232,Specie 39,4.012578785706831,0
233,Specie 40,8.936788519256575,18
234,Specie 41,3.39183570917145,0
235,Specie 0,8.993876223112274,50
236,Specie 1,8.978713268975048,42
237,Specie 2,8.992037085684531,1
238,Specie 3,8.83635592155154,79
239,Specie 4,8.984593686927441,1
240,Specie 5,8.86752328605316,1
241,Specie 6,8.953355205935754,4
242,Specie 7,8.773666794526722,48
243,Specie 8,8.976735353859722,8
244,Specie 9,8.326662560331668,100
245,Specie 10,8.75300546123695,11
246,Specie 11,8.457174772508491,2
247,Specie 12,8.891398741966414,4
248,Specie 13,8.276570152038094,5
249,Specie 14,8.819318322463028,5
250,Specie 15,8.856224975800766,4
251,Specie 16,4.134137685233428,8
252,Specie 17,8.933035666594044,6
253,Specie 18,5.540638451276575,18
254,Specie 19,8.213822081241949,11
255,Specie 20,8.94366665347043,124
256,Specie 21,8.311440184156982,3
257,Specie 22,8.900552881457072,20
258,Specie 23,8.318743479444617,39
259,Specie 24,8.920074732041147,18
260,Specie 25,6.052105358103369,2
261,Specie 26,8.73568884705614,11
262,Specie 27,8.884305269097734,18
263,Specie 28,8.046933110338097,33
264,Specie 29,7.962918531343376,13
265,Specie 30,4.516112801567907,7
266,Specie 31,8.17475870993386,25
267,Specie 32,4.703476655750932,15
268,Specie 33,5.504010764634593,15
269,Specie 34,4.283342401950717,25
270,Specie 35,7.528641963880457,5
271,Specie 36,8.947304439892713,4
272,Specie 37,6.903336638772956,5
273,Specie 38,7.387010098629276,5
274,Specie 39,4.835003387676475,18
275,Specie 40,8.937612893909806,3
276,Specie 41,3.868687550530817,6
277,Specie 42,8.773259631383603,3
278,Specie 43,5.171171766276782,0
279,Specie 44,7.647466676625351,0
280,Specie 45,4.000002221000723,0
281,Specie 0,8.99419865560664,71
282,Specie 1,8.978982337871084,35
283,Specie 2,8.99262283012309,4
284,Specie 3,8.881694062173418,32
285,Specie 4,8.985875493190422,2
286,Specie 5,8.9020276788576,2
287,Specie 6,8.959138506543145,99
288,Specie 7,8.7960080813701,46
289,Specie 8,8.542575010776282,89
290,Specie 9,8.3935293754407,7
291,Specie 10,8.781005745455332,4
292,Specie 11,8.51101447075636,5
293,Specie 12,8.952229647017152,17
294,Specie 13,8.330101329350406,10
295,Specie 14,8.878319650218057,5
296,Specie 15,8.917205178294616,5
297,Specie 16,4.15343117804837,5
298,Specie 17,8.937706389829817,1
299,Specie 18,5.654219928824461,16
300,Specie 19,8.22872675013224,5
301,Specie 20,8.955715853124737,2
302,Specie 21,8.345010473963121,4
303,Specie 22,8.919710982535204,22
304,Specie 23,8.762440880735188,28
305,Specie 24,8.944912044762452,22
306,Specie 25,6.984066498047794,1
307,Specie 26,8.723365158910768,10
308,Specie 27,8.923811311795246,43
309,Specie 28,7.950189008030404,15
310,Specie 29,8.036722282516205,23
311,Specie 30,4.615544303845714,1
312,Specie 31,8.57073127657794,5
313,Specie 32,6.6078139341514746,11
314,Specie 33,8.00906888661042,10
315,Specie 34,8.983877347432733,24
316,Specie 35,8.920002918088127,34
317,Specie 36,8.947304439892713,0
318,Specie 37,7.782893411573911,20
319,Specie 38,7.818391346391078,4
320,Specie 39,7.319307126991058,3
321,Specie 40,8.937612893909806,0
322,Specie 41,8.57822750642339,17
323,Specie 42,8.876787849596669,10
324,Specie 43,6.416189664722725,6
325,Specie 44,7.926721330781867,29
326,Specie 45,4.00001449053794,15
327,Specie 46,8.98957844029772,4
328,Specie 47,4.002482616517148,0
329,Specie 48,8.856745952354428,2
330,Specie 0,8.994282418322584,39
331,Specie 1,8.982752140379866,23
332,Specie 2,8.993116317253847,3
333,Specie 3,8.921538676145863,39
334,Specie 4,8.989776799343833,45
335,Specie 5,8.9020276788576,4
336,Specie 6,8.968747492606585,112
337,Specie 7,8.824190485652517,39
338,Specie 8,8.586978911089822,69
339,Specie 9,8.438042583743798,5
340,Specie 10,8.877788016560102,19
341,Specie 11,8.51101447075636,5
342,Specie 12,8.956422067229088,5
343,Specie 13,8.63468277925033,33
344,Specie 14,8.82091917471777,3
345,Specie 15,8.979440123085482,1
346,Specie 16,4.195991304523783,5
347,Specie 17,8.941023266653557,0
348,Specie 18,5.749360554351105,17
349,Specie 19,8.214289545972381,1
350,Specie 20,8.97421290873302,9
351,Specie 21,8.37505950616694,6
352,Specie 22,8.93879464953541,15
353,Specie 23,8.978348410037862,22
354,Specie 24,8.947890154955806,16
355,Specie 25,7.386195587438541,5
356,Specie 26,8.733389317825269,7
357,Specie 27,8.931689780511755,35
358,Specie 28,7.981970942036071,21
359,Specie 29,8.268951598007407,12
360,Specie 30,4.841451848074922,7
361,Specie 31,8.513531404042457,20
362,Specie 32,7.43091869564704,24
363,Specie 33,8.730541438070063,11
364,Specie 34,8.98952684972297,5
365,Specie 35,8.964906502807137,5
366,Specie 36,8.945348995859984,0
367,Specie 37,8.368785772424864,17
368,Specie 38,7.818391346391078,15
369,Specie 39,7.34635477578666,1
370,Specie 40,8.944857878574428,5
371,Specie 41,8.72832320032417,2
372,Specie 42,8.930402677327738,4
373,Specie 43,7.769947065044264,4
374,Specie 44,8.089812600245692,34
375,Specie 45,4.255204126072054,15
376,Specie 46,8.99070088614108,3
377,Specie 47,4.004875248148657,11
378,Specie 48,8.927072612805526,12
379,Specie 49,8.781005745455332,6
380,Specie 50,4.004886434137278,2
381,Specie 51,5.907501031693969,0
382,Specie 52,8.349731955386144,0
383,Specie 53,6.844688765939906,0
384,Specie 54,4.001104717880655,0
385,Specie 0,8.99461259606097,36
386,Specie 1,8.985691260507464,33
387,Specie 2,8.993142670474995,3
388,Specie 3,8.966104403206892,67
389,Specie 4,8.991975294753694,22
390,Specie 5,8.922564496914642,3
391,Specie 6,8.972136827408722,113
392,Specie 7,8.825513432476857,26
393,Specie 8,8.524640549242935,56
394,Specie 9,8.53936112228299,6
395,Specie 10,8.792075329109666,22
396,Specie 11,8.269940197487479,0
397,Specie 12,8.962334526784005,5
398,Specie 13,8.666964905122953,40
399,Specie 14,8.82091917471777,3
400,Specie 15,8.990437422392997,33
401,Specie 16,4.28542613110869,1
402,Specie 17,8.943746108852086,5
403,Specie 18,6.252955136970715,21
404,Specie 19,8.385020703976506,3
405,Specie 20,8.973714084173363,5
406,Specie 21,8.48430963781098,8
407,Specie 22,8.954358930072948,14
408,Specie 23,8.98429281242316,35
409,Specie 24,8.95024161010413,12
410,Specie 25,7.787110684897592,2
411,Specie 26,8.772512205913142,3
412,Specie 27,8.942806034682242,16
413,Specie 28,8.001777081515902,14
414,Specie 29,8.426759016940203,13
415,Specie 30,4.878348061400389,2
416,Specie 31,8.671314174299921,18
417,Specie 32,8.058343531746454,14
418,Specie 33,8.96970401519904,5
419,Specie 34,8.991250380482718,5
420,Specie 35,8.985153630506282,3
421,Specie 36,8.957282432747368,5
422,Specie 37,8.498863795981551,14
423,Specie 38,7.83735335473237,16
424,Specie 39,7.34635477578666,5
425,Specie 40,8.952102863239052,8
426,Specie 41,8.701188740857443,4
427,Specie 42,8.930402677327738,3
428,Specie 43,8.034576017397868,5
429,Specie 44,8.139130733660233,32
430,Specie 45,5.555749071065098,16
431,Specie 46,8.992904213132887,3
432,Specie 47,5.257273688518476,12
433,Specie 48,8.973184138169627,2
434,Specie 49,8.808358259210092,2
435,Specie 50,4.011019064592425,5
436,Specie 51,7.793542080505727,4
437,Specie 52,8.39770964211303,1
438,Specie 53,7.264642761712352,15
439,Specie 54,4.00391390045499,5
440,Specie 55,3.9999999970136297,0
441,Specie 56,6.05479283076638,0
442,Specie 0,8.994499977786107,61
443,Specie 1,8.98913428009612,25
444,Specie 2,8.993139889996323,3
445,Specie 3,8.987345963306849,25
446,Specie 4,8.994285625085256,5
447,Specie 5,8.931907350119445,8
448,Specie 6,8.968386160243746,1
449,Specie 7,8.839259803334949,28
450,Specie 8,8.563942650579571,53
451,Specie 9,8.553054268591008,4
452,Specie 10,8.989138379833165,27
453,Specie 11,8.269940197487479,3
454,Specie 12,8.970255867176755,138
455,Specie 13,8.66808670980143,20
456,Specie 14,8.835180809720036,6
457,Specie 15,8.99139267042744,4
458,Specie 16,4.449786255856748,4
459,Specie 17,8.947228744970356,4
460,Specie 18,7.116653957669467,11
461,Specie 19,8.385791960800963,2
462,Specie 20,8.979501270347026,4
463,Specie 21,8.470990503560747,1
464,Specie 22,8.974867624167983,23
465,Specie 23,8.986904613071644,19
466,Specie 24,8.972144806010851,13
467,Specie 25,8.15191481386613,1
468,Specie 26,8.808762993501457,28
469,Specie 27,8.950033719323184,34
470,Specie 28,8.157664974723264,21
471,Specie 29,8.54468971727076,27
472,Specie 30,7.343717387183103,6
473,Specie 31,8.704345344161359,32
474,Specie 32,8.311017131294813,12
475,Specie 33,8.973669024144524,5
476,Specie 34,8.992652650104272,5
477,Specie 35,8.985153630506282,1
478,Specie 36,8.965033404208986,5
479,Specie 37,8.614927052477578,16
480,Specie 38,7.887989173949956,7
481,Specie 39,7.450815263924974,3
482,Specie 40,8.95578232821172,2
483,Specie 41,8.701188740857443,3
484,Specie 42,8.939583514337249,9
485,Specie 43,7.743862145155973,0
486,Specie 44,8.111339285109059,17
487,Specie 45,6.172829403487365,11
488,Specie 46,8.992904213132887,1
489,Specie 47,6.612176797715812,16
490,Specie 48,8.973184138169627,5
491,Specie 49,8.808937324348355,2
492,Specie 50,4.073599009721779,1
493,Specie 51,8.29824291832405,2
494,Specie 52,8.646014232306365,7
495,Specie 53,7.549881836119805,14
496,Specie 54,4.004760802331012,3
497,Specie 55,3.9999999986951353,1
498,Specie 56,6.39213874024888,19
499,Specie 57,8.287839582030175,8
500,Specie 58,4.671845424453037,0
501,Specie 59,4.000001394597587,0
502,Specie 60,3.9872058003556825,0
503,Specie 61,1.8689775752251336,0
504,Specie 0,8.9946295424333,53
505,Specie 1,8.98849237331213,41
506,Specie 2,8.994515378678258,22
507,Specie 3,8.98906508079156,25
508,Specie 4,8.994285625085256,2
509,Specie 5,8.9546935941376,1
510,Specie 6,8.976294001596402,4
511,Specie 7,8.841808665182844,23
512,Specie 8,8.59921615902395,59
513,Specie 9,8.553054268591008,6
514,Specie 10,8.992335569096529,22
515,Specie 11,8.652168477534032,6
516,Specie 12,8.973991611836713,89
517,Specie 13,8.734894177710009,25
518,Specie 14,8.849442444722303,2
519,Specie 15,8.991654214632543,3
520,Specie 16,4.449786255856748,1
521,Specie 17,8.957471214307521,3
522,Specie 18,7.710087384698006,16
523,Specie 19,8.385791960800963,4
524,Specie 20,8.981491019906374,5
525,Specie 21,8.511908967053927,0
526,Specie 22,8.963553299158388,1
527,Specie 23,8.988592490101304,24
528,Specie 24,8.980518766383607,16
529,Specie 25,8.230913494980788,3
530,Specie 26,8.816319427088938,28
531,Specie 27,8.955266045228488,20
532,Specie 28,8.333908027019568,23
533,Specie 29,8.55127948529374,6
534,Specie 30,7.34635477578666,4
535,Specie 31,7.696264301713671,25
536,Specie 32,8.638185850619628,16
537,Specie 33,8.988147584387951,2
538,Specie 34,8.993413398148839,2
539,Specie 35,8.991361536113375,1
540,Specie 36,8.970330365072286,1
541,Specie 37,8.673605646283377,14
542,Specie 38,7.981487934257227,14
543,Specie 39,7.450815263924974,3
544,Specie 40,8.964197502058262,5
545,Specie 41,8.678333444098556,8
546,Specie 42,8.942765016107025,3
547,Specie 43,7.743862145155973,1
548,Specie 44,8.366291151404322,34
549,Specie 45,7.827782957469478,15
550,Specie 46,8.994315350475533,4
551,Specie 47,7.474557519758847,11
552,Specie 48,8.973184138169627,5
553,Specie 49,8.820092800811697,3
554,Specie 50,4.461250888846861,5
555,Specie 51,8.370361917353728,5
556,Specie 52,8.611440993992296,1
557,Specie 53,7.681762518770309,13
558,Specie 54,4.008669868060824,3
559,Specie 55,3.9999999987374633,1
560,Specie 56,7.192354794533259,14
561,Specie 57,8.33164037629968,5
562,Specie 58,5.0216541561330965,14
563,Specie 59,4.000002614694931,11
564,Specie 60,4.121814268878045,11
565,Specie 61,4.203013374313934,11
566,Specie 62,4.000311857446391,11
567,Specie 63,4.040922128203638,0
568,Specie 64,8.975259915846154,1
569,Specie 65,5.164413572514324,3
570,Specie 0,8.994697615447453,49
571,Specie 1,8.98037766360972,34
572,Specie 2,8.995676233034857,15
573,Specie 3,8.99335724422405,26
574,Specie 4,8.994285625085256,1
